날짜,종가,거래량,시가,최고가,최저가
2024-05-06,"251,274",84390250,"249,968","255,082","247,792"
2024-05-03,"246,418",75491540,"247,656","251,301","242,651"
2024-05-02,"244,814",89148040,"248,690","251,056","239,387"
2024-05-01,"244,786",92829720,"247,520","252,770","243,454"
2024-04-30,"249,261",127031800,"254,293","259,692","248,663"
2024-04-29,"263,908",243869700,"256,251","270,463","250,974"
2024-04-26,"228,874",109815700,"229,636","234,083","226,263"
2024-04-25,"231,445",126427500,"216,186","232,397","215,370"
2024-04-24,"220,497",181178000,"221,462","228,439","214,214"
2024-04-23,"196,765",124545100,"194,929","200,274","191,910"
2024-04-22,"193,188",107097600,"191,162","196,438","188,771"
2024-04-19,"199,988",87074500,"202,599","205,278","198,859"
2024-04-18,"203,905",96098830,"205,700","206,992","202,232"
2024-04-17,"211,412",82439720,"214,390","215,329","209,141"
2024-04-16,"213,670",96999960,"213,169","215,138","209,100"
2024-04-15,"219,613",100245300,"231,526","232,138","219,477"
2024-04-12,"232,628",64722670,"234,382","236,381","231,696"
2024-04-11,"237,456",94515990,"234,668","239,197","229,174"
2024-04-10,"233,594",84532410,"235,334","237,905","231,214"
2024-04-09,"240,557",103232700,"235,158","243,739","233,811"
2024-04-08,"235,253",104423300,"230,302","237,320","228,194"
2024-04-05,"224,264",143157600,"229,949","232,370","218,294"
2024-04-04,"232,710",123162000,"231,295","240,978","228,494"
2024-04-03,"228,997",82950140,"223,067","229,595","222,061"
2024-04-02,"226,617",116650600,"224,060","228,058","222,265"
2024-04-01,"238,299",81562130,"239,591","240,380","231,486"
2024-03-28,"239,074",77654840,"241,332","244,215","238,408"
2024-03-27,"244,569",81804040,"246,718","247,398","239,360"
2024-03-26,"241,631",113186200,"242,869","250,580","241,237"
2024-03-25,"234,777",74228620,"229,514","238,326","229,473"
2024-03-22,"232,329",75580640,"226,698","232,832","226,168"
2024-03-21,"235,035",73178010,"239,890","242,325","233,648"
2024-03-20,"238,898",83846730,"235,280","239,700","232,315"
2024-03-19,"232,995",77271430,"234,410","235,035","227,691"
2024-03-18,"236,368",108214400,"231,227","237,619","225,624"
2024-03-15,"222,455",97146830,"221,898","224,651","218,634"
2024-03-14,"221,000",126325700,"228,167","232,791","218,294"
2024-03-13,"230,493",106524500,"235,348","239,428","230,044"
2024-03-12,"241,454",87391680,"241,767","244,025","234,478"
2024-03-11,"241,767",85391530,"238,605","248,703","237,728"
